year,sex,q_0025,q_0500,q_0975
1950,female,-0.761783177018363,-0.114965296395054,0.634526028971513
1950,male,-0.655904395947178,-0.110869680491737,0.564723065995393
1951,female,-0.762390587797138,-0.10409183495641,0.655273924225043
1951,male,-0.644412187237764,-0.070684242503269,0.555671823784856
1952,female,-0.750051644359098,-0.143814835746195,0.545461074253424
1952,male,-0.653214129173321,-0.094228737245972,0.626621828829718
1953,female,-0.90201594152014,-0.125974921003813,0.69050468387035
1953,male,-0.66814474259872,-0.089550784535362,0.560009759304427
1954,female,-0.942847214049056,-0.11130161496967,0.665125556297475
1954,male,-0.778867959601872,-0.104998965679347,0.69183480175105
1955,female,-0.882674757356193,-0.127184395515842,0.597555956302921
1955,male,-0.734739280489783,-0.0701166723387701,0.694742196413791
1956,female,-0.920917923917654,-0.126720587947279,0.829464667384737
1956,male,-0.804160949748211,-0.10647801967968,0.690094354126036
1957,female,-0.879850919719654,-0.0931729034825617,0.886903590228857
1957,male,-0.73816376834386,-0.0882044671609483,0.705274266081928
1958,female,-0.982292546197102,-0.0818350578900757,0.741187212987135
1958,male,-0.835184072044998,-0.0755180574274657,0.712652154292467
1959,female,-1.00836496265739,-0.0932667177935658,0.809995301595698
1959,male,-0.719396744204006,-0.119044632079638,0.757711996328008
1960,female,-1.14936342485064,-0.102493745057316,0.709863741444387
1960,male,-0.777782515051229,-0.0844359400361792,0.81047230151643
1961,female,-1.12541372510949,-0.164624964675081,0.923795322335829
1961,male,-0.79818671009928,-0.103906331111728,0.762363362911946
1962,female,-1.16366105135243,-0.110366469831206,0.879376261319145
1962,male,-0.835314193722429,-0.124499575562405,0.759994317177318
1963,female,-1.04752218199357,-0.114089741162881,0.794874927409743
1963,male,-0.765106779774591,-0.122171444493937,0.714470424505561
1964,female,-1.21444594947051,-0.121429155189344,0.833181663948784
1964,male,-0.831968509288075,-0.132425307026404,0.779284187882744
1965,female,-1.07305047375186,-0.11124750097873,0.772125257652851
1965,male,-0.846236360293735,-0.125725605191614,0.742143955015374
1966,female,-1.32843456116078,-0.0967110492061649,0.802860462873415
1966,male,-0.883937615293141,-0.0849151374088635,0.848351708059108
1967,female,-1.13544220324417,-0.0708426884882898,1.02247754253524
1967,male,-0.954836482153723,-0.1273342644452,0.728310373789843
1968,female,-1.19959117957991,-0.090489565962379,1.04518112611703
1968,male,-0.974396500974586,-0.0899403174459157,0.906926556796541
1969,female,-1.23122795375018,-0.095112981707087,1.06708740385221
1969,male,-0.992716035932341,-0.0735081987067896,0.830739352949202
1970,female,-1.31376791871517,-0.110845837300177,1.04647067775529
1970,male,-0.968262068232544,-0.0694516182311427,0.932075777088638
1971,female,-1.21042711663168,-0.067377728446016,1.09873159995157
1971,male,-0.952515543981944,-0.123969089572995,1.0321289030993
1972,female,-1.29738679161671,-0.125925310590679,1.02380929874414
1972,male,-1.01562352150796,-0.0752380690879893,0.807409922649815
1973,female,-1.27669711521,-0.0498320411554212,1.06813701822244
1973,male,-0.960952956699743,-0.0929245153283402,0.824820498430188
1974,female,-1.24123673745824,-0.0804949263810197,0.972703323432069
1974,male,-1.03665737984687,-0.0708418849961152,1.03325461379517
1975,female,-1.23456431261651,-0.0899372525814042,1.24492750056078
1975,male,-1.12875499517193,-0.0807899931365623,1.2094376793411
1976,female,-1.33535056910791,-0.0204809136618356,1.20675604491471
1976,male,-1.11035026643739,-0.0937786244259735,0.994305840974067
1977,female,-1.26767134956595,0.0139150160885522,1.22083624038282
1977,male,-0.99551127292873,-0.0986028786109403,0.94768966919347
1978,female,-1.27465227332311,-0.0835814819241793,1.20835878626213
1978,male,-1.11774379377241,-0.112832471285721,0.944046684697187
1979,female,-1.19336328333539,-0.0685292439907249,1.20681799311922
1979,male,-1.1126302840531,-0.079633103375967,1.02027387103031
1980,female,-1.27871146779929,-0.0270000854874601,1.28751196709801
1980,male,-1.0672481477113,-0.0828863954717507,1.04343201722805
1981,female,-1.3857196297679,-0.0207272958008246,1.19806180114755
1981,male,-1.08569238353232,-0.0739188098765399,1.0995399545176
1982,female,-1.41953569272734,0.00607524463452236,1.23023540997231
1982,male,-1.13966870615199,-0.0588865469510806,1.18828939681463
1983,female,-1.48903021559896,-0.0799269719104054,1.31483981582117
1983,male,-1.14208380690958,-0.0708507709908873,1.28707398331733
1984,female,-1.46190659687522,-0.0519295002020661,1.2157197150268
1984,male,-1.23264689056024,-0.0957401924073089,1.33332149106739
1985,female,-1.24921777503529,-0.0622992495001657,1.46965969388853
1985,male,-1.09011902890857,-0.0765640968354196,1.21243961275394
1986,female,-1.44932186327066,-0.0783908388865726,1.18426644917486
1986,male,-1.21796952364533,-0.0410150746075521,1.27223173827287
1987,female,-1.17813716114272,-0.0570563010651667,1.23524225355374
1987,male,-1.15716192797042,-0.0841371919235527,1.43673906975853
1988,female,-1.27988967428902,-0.0476220127789293,1.15649598852972
1988,male,-1.04105876907003,-0.0677337076638124,1.3962186706299
1989,female,-1.28230569887854,-0.033208764428594,1.14853219742832
1989,male,-1.13212855580706,-0.0399193940682885,1.15931672959184
1990,female,-1.41590622690445,-0.0427902487314453,1.20071627224983
1990,male,-1.09294072242714,-0.0806153114419018,1.09753041368338
1991,female,-1.30521814901645,-0.0233557302742323,1.23474282601043
1991,male,-1.11003339396432,-0.0566749987787711,1.22506711174015
1992,female,-1.32963251981061,-0.00301554669576487,1.19690924756908
1992,male,-1.14262595491392,-0.111774084002437,1.09148868010667
1993,female,-1.31372053531188,-0.0620900745801631,1.19126729068882
1993,male,-1.11274150509147,-0.0764951255354134,1.32010645761912
1994,female,-1.35487676513941,0.0298961183851225,1.21173019146467
1994,male,-1.20393070756647,-0.0953194018350202,1.20786461455347
1995,female,-1.32116935806637,-0.0492687852963021,1.29141492849016
1995,male,-1.1170358033595,-0.0827894941633925,0.989120078750613
1996,female,-1.21083327241179,-0.00243657706372769,1.25390759597733
1996,male,-1.1072147304433,-0.0694965811004981,1.16939214391612
1997,female,-1.27608781385713,0.0312153448149017,1.21113900647456
1997,male,-1.13313871602619,-0.0428151678341733,1.13951431385241
1998,female,-1.30248276535744,0.011813226960611,1.24678541133438
1998,male,-1.23638520510395,0.000839364047607594,1.29711055906418
1999,female,-1.31042912031918,-0.00454551030724471,1.44272012711016
1999,male,-1.39163006259019,-0.0657624391763573,1.24112675225197
2000,female,-1.30045618776958,0.118992874930903,1.31414440958226
2000,male,-1.29373304014136,0.00165072533989008,1.58922227153747
2001,female,-1.28523141478168,0.0643727755253276,1.21958441040858
2001,male,-1.33419863850861,-0.0304311660697409,1.3277670308638
2002,female,-1.29646455990963,0.10879819157149,1.36648347975911
2002,male,-1.19041268020647,0.043759035758784,1.39965968697298
2003,female,-1.26101192402762,-0.016585497611739,1.29452813495359
2003,male,-1.36411984834096,0.0548530587287739,1.62487251088129
2004,female,-1.50341921514671,0.0374120957463413,1.5114793875252
2004,male,-1.20208397782343,0.0689469295463896,1.52453788872158
2005,female,-1.341062352925,0.112685343980796,1.43157945751613
2005,male,-1.18554354848068,0.0797275742374142,1.50723740800577
2006,female,-1.18803739028992,0.143227319914558,1.59462612864291
2006,male,-1.38549395830899,0.0985442274039663,1.6875479137086
2007,female,-1.22848224573774,0.138072721301084,1.4178517588525
2007,male,-1.24433789811172,0.053881332476958,1.51642566010608
2008,female,-1.17184625919085,0.202486292517565,1.44229798987154
2008,male,-1.36004583373096,0.0775688750864019,1.72736841140725
2009,female,-1.34012513062257,0.144330999344644,1.58586543038977
2009,male,-1.35404347987473,0.141003469298861,1.70163500297238
2010,female,-1.36086443816591,0.0932401040556119,1.53725808848014
2010,male,-1.30071907805175,0.0872761337402723,1.6326667397834
2011,female,-1.37308219653948,0.0676188530790522,1.5796008940474
2011,male,-1.403034321922,0.0951058600432786,1.65035918525
2012,female,-1.30091883370801,0.135107626141661,1.6888254001652
2012,male,-1.43013509879255,0.138440938231822,1.67807956555389
2013,female,-1.2171762265952,0.236594328713633,1.77360411131314
2013,male,-1.3398337789132,0.233696148855328,2.00880678786093
2014,female,-1.15311994379505,0.220374665908547,1.68027035600957
2014,male,-1.28200065604277,0.170292225010971,1.65436010636026
2015,female,-1.21215075634758,0.274135127179457,1.91177592712508
2015,male,-1.47500374056223,0.227344555856615,2.2189536992357
2016,female,-1.17375101924752,0.252408335781216,1.71502155229473
2016,male,-1.52782926392178,0.132662582977002,2.04457950350156
2017,female,-1.36038390172256,0.256286526460128,1.99628140449329
2017,male,-1.35963235215354,0.174484532833562,1.96151717598208
2018,female,-1.20599921512525,0.275741243046216,1.76727117620193
2018,male,-1.793769095256,0.242746732423574,1.79625607725577
2019,female,-1.53430611270356,0.331327985544418,1.95863937314928
2019,male,-1.63857916441128,0.281508514366783,2.30987991941502
2020,female,-1.1935139473299,0.354225500060078,1.65720860677453
2020,male,-1.45331822339046,0.242391797745629,2.1134479655828
2021,female,-1.14786955606767,0.295530117824663,1.78676714415308
2021,male,-1.45420990526833,0.248951020974556,1.89842458129156
